id,titlu,valoare,data,tip,firma,cui,ofertanti
achizitie-directa-2026-81261,Reparare si intretinere a centralelor termice (Rev.2),6456.21,2026-01-23,Achizitie directa,CENTRAL SERVICE INSTAL,19222172,1
achizitie-directa-2026-81335,Acumulatori electrici (Rev.2),2878.0,2026-01-23,Achizitie directa,TEHNICAT SERVICE,48766364,1
achizitie-directa-2026-85471,Dispozitive de stocare cu memorie flash (Rev.2),278.6,2026-01-26,Achizitie directa,FANPLACE iT SRL,31962960,1
achizitie-directa-2026-87235,Scanere (Rev.2),1657.89,2026-01-26,Achizitie directa,FANPLACE iT SRL,31962960,1
achizitie-directa-2026-94095,Servicii legislative (Rev.2),8988.0,2026-01-27,Achizitie directa,WOLTERS KLUWER ROMANIA S.R.L.,8451308,1
achizitie-directa-2026-94608,Servicii de intretinere a automobilelor (Rev.2),2124.27,2026-01-27,Achizitie directa,AUTO MARCU'S GRUP SA,86,1
achizitie-directa-2026-98904,"Ziare, reviste specializate, periodice si reviste (Rev.2)",24000.0,2026-01-27,Achizitie directa,WORLD GLOBAL MEDIA S.R.L.,44412011,1
achizitie-directa-2026-100682,Servicii de curatare a cuptoarelor si a semineelor (Rev.2),4900.0,2026-01-27,Achizitie directa,SC HEAT INSTAL SRL,23862510,1
achizitie-directa-2026-100767,Servicii de reparare si de intretinere a echipamentului de distributie electrica,1400.0,2026-01-27,Achizitie directa,SC HEAT INSTAL SRL,23862510,1
achizitie-directa-2026-102028,Scaune cu rotile (Rev.2),12148.65,2026-01-28,Achizitie directa,FANPLACE iT SRL,31962960,1
achizitie-directa-2026-103589,Servicii de intretinere a automobilelor (Rev.2),624.8000000000001,2026-01-28,Achizitie directa,AUTO MARCU'S GRUP SA,86,1
achizitie-directa-2026-107378,Servicii de estimare (Rev.2),115000.0,2026-01-28,Achizitie directa,SC FOCUS COMPANY CONSULTING CCN SRL,26057280,1
achizitie-directa-2026-107413,Servicii postale (Rev.2),150000.0,2026-01-28,Achizitie directa,COMPANIA NATIONALA POSTA ROMANA S.A.,427410,1
achizitie-directa-2026-119204,Publicatii periodice (Rev.2),70000.0,2026-01-30,Achizitie directa,Semnal.EU,51649500,1
achizitie-directa-2026-126162,Sticla izolanta (Rev.2),1350.0,2026-02-02,Achizitie directa,HIDROCONSTRUCT SUD,37154246,1
achizitie-directa-2026-127921,Servicii de intretinere a automobilelor (Rev.2),719.54,2026-02-02,Achizitie directa,AUTO MARCU'S GRUP SA,86,1
achizitie-directa-2026-132696,Servicii de fotografie si servicii conexe (Rev.2),66000.0,2026-02-02,Achizitie directa,ILIE GEORGIAN PERSOANĂ FIZICĂ AUTORIZATĂ,30277713,1
achizitie-directa-2026-138891,Imprimante laser (Rev.2),1238.84,2026-02-03,Achizitie directa,MEDA CONSULT,15730038,1
achizitie-directa-2026-154664,Servicii de furnizare de date (Rev.2),5390.0,2026-02-05,Achizitie directa,COMPANY DATA SRL,24782214,1
achizitie-directa-2026-163730,Servicii tipografice si servicii conexe (Rev.2),25400.0,2026-02-06,Achizitie directa,BLITZ PRINT,15757246,1
